Geo Point;Geo Shape;OBJECTID;IDREFLIGA;IDREFLIGC;INDICE_LIG;RES_COM;RESEAU;MODE_;FER;TRAIN;RER;METRO;TRAMWAY;NAVETTE;VAL;IDF;EXTCODE
48.9464608463, 2.34555103992;"{""type"": ""LineString"", ""coordinates"": [[2.343251343552804, 48.94698706127986, 0.0], [2.344344606934788, 48.94676851039621, 0.0], [2.344907401520615, 48.946654522795484, 0.0], [2.345292227771014, 48.946559548073935, 0.0], [2.345609832805901, 48.94646706039627, 0.0], [2.34660947465429, 48.94625694446812, 0.0], [2.34716145909295, 48.946140033059315, 0.0], [2.347183367911751, 48.946134479149805, 0.0], [2.347204407097647, 48.946128161348526, 0.0], [2.347224566034422, 48.94612114178768, 0.0], [2.347243834106027, 48.94611348259943, 0.0], [2.347262200696588, 48.94610524591591, 0.0], [2.34727965519038, 48.94609649386928, 0.0], [2.347296186971831, 48.946087288591656, 0.0], [2.347311785425501, 48.94607769221516, 0.0], [2.347326439936079, 48.946067766871884, 0.0], [2.347340139888364, 48.9460575746939, 0.0], [2.347352874667272, 48.946047177813284, 0.0], [2.347364633657805, 48.94603663836209, 0.0], [2.347375406245047, 48.94602601847235, 0.0], [2.34738518181416, 48.946015380276066, 0.0], [2.347393949750363, 48.94600478590525, 0.0], [2.347401699438916, 48.94599429749189, 0.0], [2.347413427145687, 48.94597580566715, 0.0], [2.347422793186025, 48.94595768254735, 0.0], [2.347429985443893, 48.94593995692023, 0.0], [2.347435191802912, 48.94592265757341, 0.0], [2.347438600146362, 48.945905813294374, 0.0], [2.347440398357199, 48.94588945287049, 0.0], [2.34744077431805, 48.94587360508899, 0.0], [2.347439915911226, 48.94585829873718, 0.0], [2.347438011018744, 48.94584356260221, 0.0], [2.347435247522327, 48.945829425471274, 0.0], [2.347431813303419, 48.94581591613151, 0.0], [2.347427896243219, 48.94580306337013, 0.0], [2.347423684222689, 48.9457908959743, 0.0], [2.347419365122572, 48.945779442731286, 0.0], [2.34741512682343, 48.94576873242829, 0.0], [2.347411157205657, 48.94575879385258, 0.0], [2.347312925167514, 48.94555553922783, 0.0]]}";1563.0;A02150;C01795;8;T8;TRAMWAY;Tramway;0;0;0;0;1;0;0;1.0;100112018:T8
48.8191280225, 2.35991359186;"{""type"": ""LineString"", ""coordinates"": [[2.360129742015262, 48.81905151465142, 0.0], [2.35999706772991, 48.81909124344267, 0.0], [2.359893754617645, 48.81912927204872, 0.0], [2.359796192504509, 48.819173431855226, 0.0], [2.359705216746021, 48.819223349609054, 0.0]]}";1564.0;A01540;C01377;7;M7;Métro;Metro;0;0;0;1;0;0;0;1.0;100110007:7
48.8201744713, 2.34825590173;"{""type"": ""LineString"", ""coordinates"": [[2.3458035798426, 48.81950050990105, 0.0], [2.350218533837916, 48.820714525867345, 0.0], [2.350536022340142, 48.82079732802219, 0.0], [2.350710129390121, 48.82084126211055, 0.0]]}";1567.0;A01193;C01391;3;T3A;TRAMWAY;Tramway;0;0;0;0;1;0;0;1.0;100112013:T3A
48.4303696254, 2.14599761683;"{""type"": ""LineString"", ""coordinates"": [[2.149101178683954, 48.43222560109566, 0.0], [2.14843893449645, 48.43202094667984, 0.0], [2.147486715825734, 48.43170635300949, 0.0], [2.146234166359035, 48.43125166350922, 0.0], [2.145993668239178, 48.43114688014556, 0.0], [2.145758118318193, 48.43103798792152, 0.0], [2.145563334408602, 48.43092914677682, 0.0], [2.145434944526419, 48.43084613146194, 0.0], [2.145308716061275, 48.4307588373365, 0.0], [2.145176128104334, 48.430651545661576, 0.0], [2.145007254958966, 48.43049708416356, 0.0], [2.144753142248362, 48.43019543988386, 0.0], [2.144633833450861, 48.42998253199227, 0.0], [2.144555094174176, 48.42981822909702, 0.0], [2.14449347316116, 48.42966537670236, 0.0], [2.144455388048322, 48.42952826677235, 0.0], [2.144428010315732, 48.42939545809034, 0.0], [2.144428945779243, 48.42915134819845, 0.0], [2.144477098032969, 48.428900179660104, 0.0], [2.144537917697532, 48.42870185326943, 0.0], [2.144639558250449, 48.42848646602372, 0.0], [2.144762713816887, 48.42825398391233, 0.0], [2.144872908557404, 48.428044320747304, 0.0], [2.145246592903116, 48.42736258418355, 0.0]]}";1570.0;A01840;C01727;C;RER C;RER C;RER;1;0;1;0;0;0;0;1.0;800:C
48.9367353866, 2.34857513139;"{""type"": ""LineString"", ""coordinates"": [[2.350400018540065, 48.93750989644162, 0.0], [2.35024007846667, 48.93702760711193, 0.0], [2.350208293097548, 48.93697475196173, 0.0], [2.350170679362546, 48.93693433199337, 0.0], [2.35012393221469, 48.93689828427512, 0.0], [2.35006919944172, 48.936867499917625, 0.0], [2.35000783117432, 48.93684273443789, 0.0], [2.349941337686147, 48.93682459853873, 0.0], [2.349871355518788, 48.936813538141905, 0.0], [2.349799610720771, 48.936809826995216, 0.0], [2.349727865764831, 48.93681355469448, 0.0], [2.349701825576966, 48.93681678663092, 0.0], [2.349044058167084, 48.9369257777465, 0.0], [2.348997361312688, 48.93693005831583, 0.0], [2.348914199366566, 48.936931899765156, 0.0], [2.348831406135883, 48.93692642207677, 0.0], [2.348750461504366, 48.93691372232154, 0.0], [2.34863600312478, 48.93688179081671, 0.0], [2.347941366208955, 48.93664465718516, 0.0], [2.346855168971187, 48.9362846930754, 0.0], [2.34644376242267, 48.93613469226443, 0.0]]}";1580.0;A01191;C01389;1;T1;TRAMWAY;Tramway;0;0;0;0;1;0;0;1.0;100112011:T1
48.8959646138, 2.39662148799;"{""type"": ""LineString"", ""coordinates"": [[2.397738850646979, 48.89388028252993, 0.0], [2.397678231569433, 48.89411375858865, 0.0], [2.39761417835626, 48.894316403121195, 0.0], [2.397523718776776, 48.89452438797588, 0.0], [2.397396305646275, 48.894760541315065, 0.0], [2.397147179514814, 48.89519978133141, 0.0], [2.396347032845788, 48.896576640991086, 0.0], [2.395909962493173, 48.89731396664284, 0.0], [2.395867631948511, 48.89735420425667, 0.0], [2.395832668286991, 48.897381628722, 0.0], [2.395789093425557, 48.89740472809833, 0.0], [2.395744147314155, 48.897421633259924, 0.0], [2.395679680420903, 48.897441295224546, 0.0], [2.395569065973029, 48.897456916561566, 0.0], [2.395484642172851, 48.89745697697398, 0.0], [2.395041717015776, 48.89743272609386, 0.0]]}";1584.0;A01757;C01679;3;T3B;TRAMWAY;Tramway;0;0;0;0;1;0;0;1.0;100112003:T3B
48.8973489737, 2.38344300576;"{""type"": ""LineString"", ""coordinates"": [[2.386581433103124, 48.89742873647797, 0.0], [2.386335805313858, 48.89743286050715, 0.0], [2.385862108555557, 48.89743519147452, 0.0], [2.385795346585332, 48.89743459998661, 0.0], [2.385702431366433, 48.89743377718817, 0.0], [2.385631904983348, 48.89743039371237, 0.0], [2.385585246762694, 48.89742484839017, 0.0], [2.385531178977195, 48.897419217369105, 0.0], [2.385479001283658, 48.89740645726085, 0.0], [2.385415879599093, 48.897387169498074, 0.0], [2.385374755600823, 48.897371420088895, 0.0], [2.385340642236788, 48.89735696838579, 0.0], [2.385306597753559, 48.89733656895733, 0.0], [2.385265421149716, 48.89730899324797, 0.0], [2.385214978144538, 48.897268552917964, 0.0], [2.384136376466567, 48.896278873954365, 0.0], [2.38408205439148, 48.896233860813695, 0.0], [2.384041987561855, 48.89620414908441, 0.0], [2.383980314216476, 48.896170520295634, 0.0], [2.383927165083035, 48.89614835573964, 0.0], [2.383872518056326, 48.89613094263351, 0.0], [2.383801980171648, 48.89611439921472, 0.0], [2.38372845496454, 48.89610640726606, 0.0], [2.383662079830361, 48.8961041618284, 0.0], [2.383555163584654, 48.89611217751508, 0.0], [2.383488595491673, 48.89612611148309, 0.0], [2.383407435627896, 48.89615329545268, 0.0], [2.383342086342747, 48.89618627053797, 0.0], [2.383299900564464, 48.89621365511406, 0.0], [2.38325323649049, 48.896253389401416, 0.0], [2.3832020841587, 48.89630642571793, 0.0], [2.383075545461376, 48.89650850221135, 0.0], [2.382781202451369, 48.89698382609574, 0.0], [2.382621123039184, 48.89721428329305, 0.0], [2.382366694322129, 48.897609862552414, 0.0], [2.382146688584812, 48.897963098245114, 0.0], [2.381871725223989, 48.8984156767423, 0.0], [2.381811062312893, 48.89850958928567, 0.0], [2.381769294512492, 48.89856219670373, 0.0], [2.381739716313054, 48.89859131129601, 0.0], [2.381686183891011, 48.89863172350205, 0.0], [2.38164691245989, 48.898656504592054, 0.0], [2.381571862931242, 48.898685384358274, 0.0], [2.38147835870721, 48.89871845220196, 0.0], [2.381342723972868, 48.89874344953702, 0.0], [2.38122466576659, 48.89874712216441, 0.0], [2.381090410813122, 48.89874714249711, 0.0], [2.380947918547456, 48.898741765584866, 0.0], [2.380537035488634, 48.898733990652936, 0.0]]}";1590.0;A01757;C01679;3;T3B;TRAMWAY;Tramway;0;0;0;0;1;0;0;1.0;100112003:T3B
48.894278449, 2.23910725877;"{""type"": ""LineString"", ""coordinates"": [[2.237213536457713, 48.89212336383249, 0.0], [2.237294777438664, 48.89224112926534, 0.0], [2.237409431844714, 48.892398801312076, 0.0], [2.237549407499594, 48.892585256637396, 0.0], [2.237704932269371, 48.89278747533295, 0.0], [2.237863133011169, 48.892988844754925, 0.0], [2.238019633560556, 48.893183919465216, 0.0], [2.238168601703382, 48.89336543263433, 0.0], [2.238306494088, 48.893529075540755, 0.0], [2.238472126639319, 48.893690766849375, 0.0], [2.238664313407516, 48.89387258290913, 0.0], [2.23867390193557, 48.89387994195131, 0.0], [2.238758997226112, 48.893950182073574, 0.0], [2.240066980639349, 48.89468166930425, 0.0], [2.240252396861969, 48.894835133173316, 0.0], [2.240321975794533, 48.89497358506309, 0.0], [2.240324139541801, 48.8950230916839, 0.0], [2.240318726207366, 48.89509729713089, 0.0], [2.240307206451638, 48.89519430774331, 0.0], [2.240136594340738, 48.896273962603594, 0.0], [2.240079173771374, 48.896664526224924, 0.0]]}";1597.0;A01192;C01390;2;T2;TRAMWAY;Tramway;0;0;0;0;1;0;0;1.0;100112012:T2
48.8997119594, 2.2398777297;"{""type"": ""LineString"", ""coordinates"": [[2.240079252038273, 48.896664397218075, 0.0], [2.240021752340487, 48.89705508967944, 0.0], [2.240006605561989, 48.897147182028526, 0.0], [2.239998401457595, 48.89721470737861, 0.0], [2.239995784462297, 48.89729511779874, 0.0], [2.239999232577905, 48.8973555782097, 0.0], [2.24001066853312, 48.89741275819259, 0.0], [2.240096010200701, 48.89764839247532, 0.0], [2.240113004393371, 48.89772036029325, 0.0], [2.240119005281564, 48.89780368072824, 0.0], [2.240104826899041, 48.897934462003015, 0.0], [2.240062261245733, 48.898229723015895, 0.0], [2.24002292985501, 48.89850121003117, 0.0], [2.239941522935237, 48.899034172182084, 0.0], [2.239906146845589, 48.89930663555752, 0.0], [2.23986663650968, 48.89956550985925, 0.0], [2.239852174372578, 48.899740309376604, 0.0], [2.239862862659373, 48.89989813631106, 0.0], [2.239879953324192, 48.8999881882945, 0.0], [2.239902031655614, 48.90010754052198, 0.0], [2.23990458098366, 48.900155383812795, 0.0], [2.239889983319141, 48.900339462534575, 0.0], [2.239626421556993, 48.90214951983436, 0.0], [2.239595660060533, 48.90237757510363, 0.0], [2.239539059703579, 48.90276840056811, 0.0]]}";1598.0;A01192;C01390;2;T2;TRAMWAY;Tramway;0;0;0;0;1;0;0;1.0;100112012:T2
48.91239592, 2.23175755153;"{""type"": ""LineString"", ""coordinates"": [[2.233988601425483, 48.91080258974541, 0.0], [2.233581858476612, 48.91109111021132, 0.0], [2.232410415090217, 48.91191958199613, 0.0], [2.230417453557094, 48.913339234128024, 0.0], [2.230287241217624, 48.91344284516438, 0.0], [2.229963747965308, 48.913713213450656, 0.0], [2.229571613274198, 48.91404768156708, 0.0]]}";1602.0;A01192;C01390;2;T2;TRAMWAY;Tramway;0;0;0;0;1;0;0;1.0;100112012:T2
