"id","latlng","typeroute","adresse","commune","codepostal","hdebut","hfin","saufjour","services","carburants","activite"
"13270009","43.45119,4.95552","R","Chemin de Mourre Poussiou","FOS-SUR-MER","13270","06:00","21:00",,"Automate CB|Toilettes publiques|Boutique alimentaire|Boutique non alimentaire|Restauration à emporter|Restauration sur place|Vente de gaz domestique|Carburant qualité supérieure|Station de gonflage|Piste poids lourds","E10|Gazole|SP98|GPLc|SP95","O"
"13240001","43.39421,5.36497","R","Avenue du 8 Mai 1945","Septèmes-les-Vallons","13240","01:00","01:00",,,"Gazole|SP95","O"
"13300008","43.63422,5.09078","R","Boulevard Reine Jeanne","Salon-de-Provence","13300","01:00","01:00",,"Automate CB|Vente de gaz domestique|Vente de fioul domestique|Station de lavage|Lavage haute-pression","E10|Gazole|SP95","O"
"13380002","43.34251,5.45743","R","89 AVENUE DE LA LIBERATION","Plan-de-Cuques","13380","01:00","01:00",,,"E10|Gazole|SP98","O"
"13230001","43.38772,4.80516","R","2 avenue de la République","Port-Saint-Louis-du-Rhône","13230","01:00","01:00",,"Automate CB|Vente de gaz domestique|Station de lavage|Vente de pétrole lampant|Lavage multi-programmes","E10|Gazole|SP98|SP95","O"
"13270004","43.44054,4.93988","R","DEVIATION RN 568 OUEST","Fos-sur-Mer","13270","01:00","01:00",,,"E10|Gazole|SP98","O"
"13210001","43.78873,4.8354","R","41 AV DE LA LIBERATION","Saint-Rémy-de-Provence","13210","01:00","01:00",,"Automate CB|Boutique alimentaire|Boutique non alimentaire|Vente de fioul domestique|GPL|Carburant qualité supérieure|Lavage multi-programmes|Lavage haute-pression|Station de gonflage|Baie de service auto|Piste poids lourds","Gazole|SP95","O"
"13300009","43.6123596394,5.096262162","R","Route Nationale 113","SALON-DE-PROVENCE","13300","01:00","01:00",,"Automate CB|Restauration à emporter|Restauration sur place|Vente de fioul domestique|Piste poids lourds","E10|Gazole|SP98","O"
"13140008","43.58515,5.00513","R","RN 569 Route d#039;Istres","Miramas","13140","01:00","01:00",,"Automate CB|Toilettes publiques|Boutique alimentaire|Vente de gaz domestique|Carburant qualité supérieure|Station de gonflage|Lavage multi-programmes","","O"
"13120001","43.46528,5.46434","R","Petit Chemin d'Aix","Gardanne","13120","08:30","19:45","Dimanche","Automate CB|Vente de gaz domestique","Gazole|SP98|SP95","O"
"13300002","43.6193122131,5.09629800677","R","LES BROQUETIERS","SALON-DE-PROVENCE","13300","07:00","19:30","Dimanche","Automate CB|Boutique alimentaire|Boutique non alimentaire|Carburant qualité supérieure|Lavage multi-programmes|Station de gonflage|Baie de service auto|Piste poids lourds","E10|Gazole|SP98","O"
"13320008","43.45235,5.41539","A","A51 Aire des Chabauds","Bouc-Bel-Air","13320","01:00","01:00",,"Toilettes publiques|Douches|Espace bébé / change|Boutique alimentaire|Boutique non alimentaire|Bar|Carburant qualité supérieure|GPL|Station de gonflage|Piste poids lourds","GPLc","O"
"13320005","43.43501,5.39727","R","456 Avenue des Chabauds","Bouc-Bel-Air","13320","01:00","01:00",,,"E10|Gazole|SP98","O"
"13127005","43.4483272338,5.2408575362","A","AIRE DE VITROLLES EST AUTOROUTE 7","VITROLLES","13127","01:00","01:00",,"Boutique non alimentaire|Bar|Toilettes publiques|Espace bébé / change|Boutique alimentaire|Carburant qualité supérieure|Station de gonflage","E10|Gazole|SP98","O"
"13200009","43.6675119789,4.63468013303","R","ZAC de la Fourchon","ARLES","13200","01:00","01:00",,"Automate CB|Vente de gaz domestique","E10|Gazole|SP95","O"
"13400005","43.28682,5.60162","R","298 AV.DES PALUDS","Aubagne","13400","01:00","01:00",,"Automate CB|Boutique alimentaire|Boutique non alimentaire|Vente de fioul domestique|GPL|Carburant qualité supérieure|Lavage multi-programmes|Lavage haute-pression|Station de gonflage|Baie de service auto|Piste poids lourds","E10|Gazole|SP98","O"
"13170003","43.41096,5.30941","R","RN 113","Les Pennes-Mirabeau","13170","06:00","20:00",,"Toilettes publiques|Boutique alimentaire|Vente de gaz domestique|Carburant qualité supérieure|Station de lavage|Lavage multi-programmes|Station de gonflage|Baie de service auto","E10|Gazole|SP95","O"
"13370007",,"R","STATION DU MOULIN RN7 PONT ROYAL","MALLEMORT","13370","01:00","01:00",,"Automate CB|Lavage multi-programmes|Piste poids lourds|Station de lavage|Vente de gaz domestique","","N"
"13300004","43.6400158365,5.04828841954","R","RN 113 - ZAC DE LA CRAU AVENUE GABRIEL VOISIN","SALON-DE-PROVENCE","13300","06:00","22:00",,"Automate CB|Douches|Espace bébé / change|Vente de gaz domestique|Station de lavage|Piste poids lourds|Restauration à emporter|Restauration sur place|Boutique alimentaire|Boutique non alimentaire|Carburant qualité supérieure|Lavage multi-programmes|Station de gonflage|Bar","E10|Gazole|SP98","O"
"13160001","43.8872962634,4.83369694059","R","CHEMIN DE L'ORATOIRE","CHâTEAURENARD","13160","01:00","01:00",,"Carburant qualité supérieure|Lavage multi-programmes|Boutique alimentaire|Boutique non alimentaire|Restauration à emporter|Vente de gaz domestique|Vente de fioul domestique|Station de gonflage|Station de lavage|Lavage haute-pression|Piste poids lourds","E10|Gazole|SP98","O"
"13270007","43.4270199434,4.9687699981","R","Route de port de Bouc RN 568","FOS-SUR-MER","13270","05:00","21:00",,"Toilettes publiques|Boutique alimentaire|Boutique non alimentaire|GPL|Station de gonflage|Piste poids lourds","","O"
"13380001","43.3427,5.45761","R","124 Avenue de la Libération","Plan-de-Cuques","13380","07:00","20:00",,"Boutique alimentaire|Boutique non alimentaire|Carburant qualité supérieure|Lavage multi-programmes|Station de gonflage|Baie de service auto|Piste poids lourds|Vente de gaz domestique|Location de véhicule","","O"
"13390001","43.3676614279,5.64272558668","R","Quartier de la Glacière","AURIOL","13390","01:00","01:00","Dimanche","Vente de gaz domestique|Aire de camping-cars","Gazole|SP98|SP95","O"
"13310001","43.6407188695,4.79726828461","R","Domaine du Lac - RN 113","Saint-Martin-de-Crau","13310","01:00","01:00","Dimanche","Toilettes publiques|Laverie|Restauration à emporter|Restauration sur place|Boutique alimentaire|Boutique non alimentaire|Vente de gaz domestique|Carburant qualité supérieure|Aire de camping-cars|Location de véhicule|Piste poids lourds","Gazole|SP98|SP95","O"
"13320003","43.44048,5.42183","R","cd6, relais de la salle","BOUC-BEL-AIR","13320","01:00","01:00",,"Automate CB|Boutique alimentaire|Boutique non alimentaire|Vente de fioul domestique|GPL|Carburant qualité supérieure|Lavage multi-programmes|Lavage haute-pression|Station de gonflage|Baie de service auto|Piste poids lourds","E10|Gazole|SP98|SP95","O"
"13150005","43.80743,4.66179","R","BV JULES FERRY","TARASCON","13150","06:00","22:00",,"Toilettes publiques|Boutique alimentaire|Vente de fioul domestique|Station de gonflage|Lavage multi-programmes","E10|Gazole|SP98","O"
"13200013","43.681870568,4.61163479646","R","97/99 Avenue du docteur Morel","ARLES","13200","06:30","20:00",,"Boutique alimentaire|Boutique non alimentaire|Vente de gaz domestique|Station de gonflage|Piste poids lourds","E10|Gazole|E85|SP98|SP95","O"
"13124001","43.4009983267,5.57767744688","A","A52 AIRE DE BAUME DE MARRON","PEYPIN","13124","01:00","01:00",,"Toilettes publiques|Douches|Espace bébé / change|Boutique alimentaire|Boutique non alimentaire|Carburant qualité supérieure|Piste poids lourds|Station de gonflage","Gazole|SP98|SP95","O"
"13300007","43.6529179123,5.09844284693","R","Avenue de Bretagne","SALON-DE-PROVENCE","13300","01:00","01:00",,"Automate CB|Vente de gaz domestique","Gazole|SP98|SP95","O"
"13220003","43.3941902488,5.13489044661","R","rn 568 chateauneuf les martigues","CHâTEAUNEUF-LES-MARTIGUES","13220","01:00","01:00",,"Automate CB|Toilettes publiques|Boutique alimentaire|Boutique non alimentaire|Restauration à emporter|Restauration sur place|Bar|Vente de gaz domestique|Carburant qualité supérieure|Piste poids lourds","E10|Gazole|SP98|GPLc|SP95","O"
"13190001","43.3313407651,5.48618920788","R","AVENUE DE PROVENCE","ALLAUCH","13190","01:00","01:00","Dimanche","Boutique non alimentaire|Vente de fioul domestique|Carburant qualité supérieure|Lavage haute-pression|Station de gonflage|Baie de service auto|Piste poids lourds|Vente de gaz domestique","E10|Gazole|SP98","O"
"13230002","43.3903,4.80124","R","107, avenue du Port","PORT-SAINT-LOUIS-DU-RHôNE","13230","01:00","01:00","Dimanche","Automate CB|Laverie|Boutique alimentaire|Boutique non alimentaire|Vente de gaz domestique|Station de gonflage|Station de lavage|Lavage multi-programmes|Piste poids lourds","E10|Gazole|SP98","O"
"13400006","43.288,5.57685","R","14 AV DE VERDUN","AUBAGNE","13400","06:00","22:00",,"Toilettes publiques|Restauration à emporter|Boutique alimentaire|Boutique non alimentaire|Vente de gaz domestique|Carburant qualité supérieure","","N"
"13200008","43.66592,4.63647","R","QUARTIER SUD FOURCHON","Arles","13200","07:00","20:30","Dimanche","Toilettes publiques|Boutique alimentaire|Boutique non alimentaire|Vente de gaz domestique|Carburant qualité supérieure|Station de lavage|Lavage multi-programmes|Station de gonflage|Baie de service auto","E10|Gazole","O"
"13400002","43.2889489536,5.54111135391","R","CAMP MAJOR","AUBAGNE","13400","01:00","01:00",,"Automate CB|Boutique alimentaire|Boutique non alimentaire|Carburant qualité supérieure|Station de gonflage|Baie de service auto|Piste poids lourds|Vente de gaz domestique|Station de lavage|Location de véhicule","E10|Gazole|SP98","O"
"13140009","43.59439,4.99683","R","RN  569 ROUTE D ISTRES","Miramas","13140","06:00","22:00",,"Automate CB|Boutique alimentaire|Vente de gaz domestique|Carburant qualité supérieure|Station de gonflage|Station de lavage|Lavage multi-programmes|Piste poids lourds|Boutique non alimentaire|Restauration à emporter","E10|Gazole|SP98","O"
"13270001","43.466348379,4.91395852484","R","ZI - SECTEUR 83 - RN 568","FOS-SUR-MER","13270","01:00","01:00",,"Automate CB|Boutique alimentaire|Boutique non alimentaire|GPL|Carburant qualité supérieure|Lavage haute-pression|Station de gonflage|Piste poids lourds","E10|Gazole|SP98|GPLc","O"
"13130006","43.5187771721,5.20032248166","R","les grapoux  route nationale 113","BERRE L'éTANG","13130","01:00","01:00",,"Automate CB|Douches|Restauration sur place|Bar|Carburant qualité supérieure|Piste poids lourds","E10|Gazole|SP98|SP95","O"
"13120006","43.45188,5.47465","R","250 boulevard du pont de Peton","Gardanne","13120","01:00","01:00",,"Automate CB","Gazole|SP95","O"
"13320006","43.4630311432,5.40748762952","R","RN 8 Quartier de la Mounine","Bouc-Bel-Air","13320","06:00","22:00",,"Automate CB|Toilettes publiques|Boutique alimentaire|Boutique non alimentaire|Vente de gaz domestique|Carburant qualité supérieure|Station de gonflage|Lavage haute-pression|Piste poids lourds","E10|Gazole|SP98","O"
