OBJECTID;ID;NOM_PARC;ADRESS_SSC;ADRESS_GEO;ACCES_VL;Arrdt;DELEG;SITE_DELEG;TEL;H_PARC_CM;H2_PARC_CM;TYPE_PARC;HORAIRE_NA;ASC_SURF;ACCES_MOTO;ACCES_VELO;V_ELEC_CH;AUTOPART;DATE_TA;AB_1M_E;AB_1A_E;TARIF_PR;PR_1A_MINE;PR_1A_MAXE;TARIF_RES;TF_RES_1AE;DATE_TH;TF_15MN_E;TF_30MN_E;TF_1H_E;TF_1H30_E;TF_2H_E;TF_3H_E;TF_4H_E;TF_7H_E;TF_8H_E;TF_9H_E;TF_10H_E;TF_11H_E;TF_12H_E;TF_24H_E;NB_PL_PMR;ABPMR_1M_E;ABPMR_1T_E;ABPMR_1A_E;MIS_A_JOUR;ABVE_1M_E;ABVE_1T_E;ABVE_1A_E;NB_PL_MOTO;TMOTO_1EHE;ABMOTO_1ME;ABMOTO_1TE;ABMOTO_1AE;TVELO_1M_E;POINT_X;POINT_Y;ZONES_RES;TF_15MN_MO;TF_30MN_MO;TF_24H_MOT;TF_PR_MOTO;PR_1A_MINM;PR_1A_MAXM;TF_RES_MO;TF_RES_1AM;AB_1A_PATT;PARC_AMOD;geo_shape;geo_point_2d
24;120;CHARLETY COUBERTIN;31 AVENUE PIERRE DE COUBERTIN;31 AVENUE PIERRE DE COUBERTIN;E1;13;SAEMES;WWW.SAEMES.FR;01 45 65 25 61;185;;VISITEURS ET ABONNES;24h / 24;OUI, MAIS TRAVAUX D'ACCESSIBILITE AUX HANDICAPES A REALISER;OUI;OUI;OUI;NON;01/07/2016;119,00;1297,00;NON;ND;ND;OUI;907,90;01/07/2015;0,90;1,80;3,60;5,40;7,20;10,80;14,40;25,20;28,80;32,40;32,40;32,40;32,40;32,40;5;ND;ND;ND;2017-03-01;59,50;166,00;648,50;16;ND;48,00;133,00;519,00;15,00;651855.0248;6857660.7772;13E 13F 13G 13L 13M 13N 14H;ND;ND;ND;NON;ND;ND;OUI;389,00;1621,00;NON;"{""type"": ""Point"", ""coordinates"": [2.3443272489501013, 48.81721443565874]}";48.8172144357, 2.34432724895
34;109;ETOILE FRIEDLAND;16 ET 41  AVENUE FRIEDLAND;16 AVENUE DE FRIEDLAND;E1;8;INDIGO;WWW.PARKINDIGO.FR;01 42 89 69 64;190;;VISITEURS ET ABONNES;24h / 24;OUI;OUI;NON;NON;NON;01/08/2016;292,00;2936,00;NON;ND;ND;NON;ND;01/09/2016;1,20;2,40;4,80;7,20;9,60;14,40;19,20;33,60;38,40;39,60;39,60;39,60;39,60;39,60;6;ND;ND;ND;2017-03-01;ND;ND;1468,00;5;ND;ND;ND;ND;ND;648737.1323;6864067.587;ND;ND;ND;ND;NON;ND;ND;NON;ND;ND;NON;"{""type"": ""Point"", ""coordinates"": [2.301095443346493, 48.87459014255856]}";48.8745901426, 2.30109544335
31;122;DELESSERT;11 RUE BEETHOVEN;11 RUE BEETHOVEN;E1;16;SAEMES;WWW.SAEMES.FR;01 44 82 99 99;195;;ABONNES;24h / 24;NON;NON;NON;NON;NON;01/07/2016;ND;ND;NON;ND;ND;NON;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;0;ND;ND;ND;2017-03-01;ND;ND;ND;0;ND;ND;ND;ND;ND;647689.2286;6862298.9746;ND;ND;ND;ND;NON;ND;ND;NON;ND;3104,00;NON;"{""type"": ""Point"", ""coordinates"": [2.287027081706126, 48.858601170072724]}";48.8586011701, 2.28702708171
77;112;MAC MAHON;17 AVENUE MAC MAHON;17 AVENUE MAC MAHON;E1;17;INDIGO;WWW.PARKINDIGO.FR;01 45 74 65 66;190;;VISITEURS ET ABONNES;24h / 24;OUI, MAIS TRAVAUX D'ACCESSIBILITE AUX HANDICAPES A REALISER;OUI;OUI;NON;NON;01/08/2016;248,00;2579,00;OUI;1547,25;2063,00;NON;ND;01/01/2017;1,05;2,10;4,20;6,30;8,40;12,60;16,80;29,40;33,60;36,80;36,80;36,80;36,80;36,80;6;124,00;353,00;1290,00;2017-03-01;124,00;353,00;1290,00;20;1,20;87,00;248,00;905,00;10,00;648242.945;6864272.5271;8F 8G 16E 16F 16G 17E 17F 17H 17J;0,30;0,60;10,40;OUI;541,50;722,00;NON;ND;3224,00;NON;"{""type"": ""Point"", ""coordinates"": [2.294333210233796, 48.876393581056924]}";48.8763935811, 2.29433321023
78;30;MADELEINE TRONCHET;19 PLACE DE LA MADELEINE;19 PLACE DE LA MADELEINE;E1;8;INDIGO;WWW.PARKINDIGO.FR;01 47 42 30 86;190;;VISITEURS ET ABONNES;24h / 24;OUI;OUI;OUI;NON;OUI;01/08/2016;306,00;3060,00;OUI;1836,00;2448,00;NON;ND;01/07/2016;1,15;2,30;4,60;6,90;9,20;13,80;18,40;32,20;36,80;39,60;39,60;39,60;39,60;39,60;20;153,00;429,00;1530,00;2017-03-01;153,00;429,00;1530,00;153;1,60;105,00;294,00;1050,00;11,50;650413.1329;6863625.6276;1E 2E 8E 8F 8G 8H 8J 8K 8L 9E 9G;0,40;0,80;13,60;OUI;630,00;840,00;NON;ND;3564,00;NON;"{""type"": ""Point"", ""coordinates"": [2.323996046629166, 48.87074693759888]}";48.8707469376, 2.32399604663
56;41;HARLAY (PONT NEUF);40 QUAI DES ORFEVRES;42 QUAI DES ORFEVRES;E1;1;INDIGO;WWW.PARKINDIGO.FR;01 46 33 97 48;190;;VISITEURS ET ABONNES;24h / 24;OUI, MAIS TRAVAUX D'ACCESSIBILITE AUX HANDICAPES A REALISER;OUI;OUI;NON;OUI;01/08/2016;246,00;2558,00;NON;ND;ND;OUI;1790,60;01/09/2016;1,10;2,20;4,40;6,60;8,80;13,20;17,60;30,80;35,20;39,60;39,60;39,60;39,60;39,60;7;ND;ND;ND;2017-03-01;123,00;350,55;1279,00;61;ND;89,00;253,50;925,60;ND;651751.6431;6861971.7982;1E 34F 4E 5G 5H 5J 6E;ND;ND;ND;NON;ND;ND;NON;ND;2992,00;NON;"{""type"": ""Point"", ""coordinates"": [2.342430479790229, 48.855975972058324]}";48.8559759721, 2.34243047979
84;72;MAIRIE DU 17 EME;20 RUE DES BATIGNOLLES;20 RUE DES BATIGNOLLES;E1;17;SAEMES;WWW.SAEMES.FR;01 53 04 30 10;180;;VISITEURS ET ABONNES;08h / 22h45;OUI, MAIS TRAVAUX D'ACCESSIBILITE AUX HANDICAPES A REALISER;OUI;OUI;OUI;OUI;01/07/2016;223,00;2230,00;NON;ND;ND;NON;ND;01/07/2015;1,00;2,00;3,90;5,90;7,80;11,70;15,60;27,30;31,20;35,10;35,10;35,10;35,10;35,10;5;ND;ND;ND;2017-03-01;ND;ND;ND;37;1,40;89,00;241,00;892,00;15,00;650251.6766;6865168.8881;ND;0,40;0,70;12,30;NON;ND;ND;OUI;669,00;2790,00;NON;"{""type"": ""Point"", ""coordinates"": [2.321614320614963, 48.88461257470296]}";48.8846125747, 2.32161432061
42;12;FOCH;37 ET 47 ET 4 AVENUE FOCH;47 AVENUE FOCH;E3;16;SPIE AUTOCITE;WWW.AUTOCITE.FR;01 45 00 44 78;190;;VISITEURS ET ABONNES;24h / 24;OUI;OUI;OUI;OUI;NON;01/01/2016;295,00;2950,00;NON;ND;ND;OUI;2065,00;01/01/2016;2,10;3,15;4,20;6,30;8,40;12,60;16,80;29,40;33,60;37,80;42,00;42,00;42,00;42,00;8;147,50;413,00;1475,00;2017-03-01;147,50;413,00;1475,00;18;1,45;103,25;289,10;1032,50;10,00;647413.6823;6863787.5687;TOUT PARIS;0,75;1,10;14,70;NON;ND;ND;OUI;722,75;3687,50;NON;"{""type"": ""Point"", ""coordinates"": [2.283087511144891, 48.871965318110014]}";48.8719653181, 2.28308751114
38;103;FAUBOURG SAINT ANTOINE;85 AVENUE LEDRU ROLLIN;85 AVENUE LEDRU ROLLIN;E1;12;INDIGO;WWW.PARKINDIGO.FR;01 44 75 52 43;190;;VISITEURS ET ABONNES;24h / 24;OUI, MAIS TRAVAUX D'ACCESSIBILITE AUX HANDICAPES A REALISER;OUI;OUI;NON;NON;01/08/2016;234,00;2434,00;NON;ND;ND;NON;ND;01/08/2016;1,10;2,20;4,40;6,60;8,80;13,20;17,60;30,80;35,20;39,60;39,60;39,60;39,60;39,60;8;ND;ND;ND;2017-03-01;ND;ND;1214,00;31;ND;ND;380,00;1398,00;ND;654179.463;6861395.5734;ND;ND;ND;ND;NON;ND;ND;NON;ND;ND;NON;"{""type"": ""Point"", ""coordinates"": [2.375579552957848, 48.850971257949695]}";48.8509712579, 2.37557955296
69;134;LA TOUR MAUBOURG ORSAY;45 QUAI D ORSAY;45 QUAI D ORSAY;E1;7;Q PARK;WWW.Q-PARK.FR;01 44 18 04 05;190;;VISITEURS ET ABONNES;24h / 24;OUI;OUI;NON;OUI;NON;01/01/2017;305,00;2950,00;NON;ND;ND;OUI;2040,00;01/01/2017;1,25;2,50;5,00;7,50;10,00;15,00;20,00;35,00;40,00;40,00;40,00;40,00;40,00;40,00;9;ND;ND;ND;2017-03-01;125,00;ND;1500,00;11;ND;142,00;403,00;1147,00;ND;649367.4653;6862698.909;1E 7E 7F 7G 7H 7J 7K 7L 7M 7N 8E 16H;ND;ND;ND;NON;ND;ND;NON;ND;3709,00;NON;"{""type"": ""Point"", ""coordinates"": [2.309851888243394, 48.862331801967365]}";48.862331802, 2.30985188824
71;98;LECOURBE (SURFACE);37 BOULEVARD GARIBALDI;37 BOULEVARD GARIBALDI;E1;15;SAEMES;WWW.SAEMES.FR;01 44 82 99 99;200;;ABONNES;24h / 24;ACCESSIBLE DE PLAIN PIED;NON;OUI;OUI;OUI;01/01/2017;103,60;1036,00;OUI;621,60;828,80;NON;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;2;52,00;148,00;518,00;2017-03-01;52,00;148,00;518,00;0;ND;ND;ND;ND;ND;649107.7062;6860961.0187;6F 7F 7H 7J 7K 7M 7N 15F 15G 15H 15J 15K 15L 15R;ND;ND;ND;NON;ND;ND;NON;ND;ND;NON;"{""type"": ""Point"", ""coordinates"": [2.306519452041374, 48.84668269490299]}";48.8466826949, 2.30651945204
54;106;GRENIER SAINT LAZARE;24 RUE DU GRENIER SAINT LAZARE;24 RUE DU GRENIER SAINT LAZARE;E1;3;INDIGO;WWW.PARKINDIGO.FR;01 40 29 97 29;180;;ABONNES;24h / 24;NON;NON;NON;NON;NON;01/08/2016;ND;ND;NON;ND;ND;NON;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;0;ND;ND;ND;2017-03-01;ND;ND;ND;0;ND;ND;ND;ND;ND;652556.8848;6862751.1153;ND;ND;ND;ND;NON;ND;ND;NON;ND;ND;NON;"{""type"": ""Point"", ""coordinates"": [2.353317518744047, 48.8630440823885]}";48.8630440824, 2.35331751874
39;68;FIRMIN GEMIER;5 RUE FIRMIN GEMIER;5 RUE FIRMIN GEMIER;E1;18;SAEMES;WWW.SAEMES.FR;01 44 82 99 99;195;;ABONNES;24h / 24;NON;OUI;NON;NON;NON;01/07/2016;ND;ND;NON;ND;ND;NON;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;0;94,00;ND;ND;2017-03-01;ND;ND;ND;7;ND;54,00;149,00;582,00;ND;650879.9809;6866288.4283;ND;ND;ND;ND;NON;ND;ND;NON;ND;1454,00;NON;"{""type"": ""Point"", ""coordinates"": [2.330052162620531, 48.89472840582793]}";48.8947284058, 2.33005216262
125;51;PORTE D ORLEANS;6 RUE DE LA LEGION ETRANGERE ET AVENUE DE LA PORTE D ORLEANS;AVENUE DE LA PORTE D ORLEANS;E2;14;SAEMES;WWW.SAEMES.FR;01 40 52 09 20;185;280;VISITEURS ET ABONNES;24h / 24;OUI, MAIS TRAVAUX D'ACCESSIBILITE AUX HANDICAPES A REALISER;OUI;OUI;OUI;OUI;01/01/2017;140,00;1400,00;OUI;840,00;1120,00;NON;ND;01/01/2017;0,80;1,60;3,25;4,85;6,50;9,75;13,00;22,75;26,00;29,25;29,25;29,25;29,25;29,25;14;70,00;196,00;700,00;2017-03-01;70,00;196,00;700,00;24;1,15;49,00;137,20;490,00;15,00;650508.6083;6858024.4178;TOUT PARIS;0,30;0,60;10,35;OUI;294,00;392,00;NON;ND;1820,00;NON;"{""type"": ""Point"", ""coordinates"": [2.325949389761584, 48.82038276992376]}";48.8203827699, 2.32594938976
118;35;PORTE DE CHAMPERRET;6 AVENUE PORTE DE CHAMPERRET ET 21 BOULEVARD DE L YSER;21 BOULEVARD DE L YSER;E1;17;INDIGO;WWW.PARKINDIGO.FR;01 43 80 73 81;190;;VISITEURS ET ABONNES;24h / 24;OUI, MAIS TRAVAUX D'ACCESSIBILITE AUX HANDICAPES A REALISER;OUI;OUI;OUI;OUI;01/08/2016;148,00;1539,00;NON;ND;ND;OUI;1082,00;01/02/2017;1,00;2,00;4,00;6,00;8,00;12,00;16,00;28,00;32,00;36,00;36,00;36,00;36,00;36,00;29;ND;ND;ND;2017-03-01;74,00;211,00;770,00;37;1,20;72,00;205,00;749,00;16,00;647738.9887;6865186.5518;17E 17F 17G 17H 17L 17M 17N;0,30;0,60;10,80;NON;ND;ND;OUI;520,00;1924,00;NON;"{""type"": ""Point"", ""coordinates"": [2.287350064459235, 48.88457238528728]}";48.8845723853, 2.28735006446
115;37;PONT DE GRENELLE MAISON DE LA RADIO;116 AVENUE DU PRESIDENT KENNEDY;116 AVENUE DU PRESIDENT KENNEDY;E1;16;SAGS;WWW.SAGS.FR;01 45 25 18 90;190;;VISITEURS ET ABONNES;24h / 24;NON;OUI;OUI;OUI;OUI;06/04/2014;210,00;2100,00;OUI;800,00;1600,00;NON;ND;06/04/2014;0,90;1,80;3,60;5,40;7,20;10,80;14,40;25,20;28,80;32,40;32,40;32,40;32,40;32,40;6;105,00;315,00;1050,00;2017-03-01;105,00;315,00;1050,00;6;1,20;84,00;228,00;840,00;10,00;647132.5757;6861586.5442;15M 16P 16S 16T 16U;0,30;0,60;10,80;OUI;280,00;560,00;NON;ND;2625,00;NON;"{""type"": ""Point"", ""coordinates"": [2.279529159981994, 48.85214895296255]}";48.852148953, 2.27952915998
149;50;SOUFFLOT;18 ET 19  RUE SOUFFLOT;18 RUE SOUFFLOT;E1;5;INDIGO;WWW.PARKINDIGO.FR;01 43 26 15 54;190;;VISITEURS ET ABONNES;24h / 24;OUI, MAIS TRAVAUX D'ACCESSIBILITE AUX HANDICAPES A REALISER;OUI;OUI;OUI;OUI;01/08/2016;239,00;2486,00;NON;ND;ND;NON;ND;01/01/2017;1,05;2,10;4,20;6,30;8,40;12,60;16,80;29,40;33,60;37,80;37,80;37,80;37,80;37,80;9;119,50;341,00;1243,00;2017-03-01;119,50;341,00;1243,00;33;1,20;83,60;238,70;870,10;10,10;651746.2924;6860989.5635;ND;0,30;0,60;10,80;NON;ND;ND;NON;ND;3077,00;NON;"{""type"": ""Point"", ""coordinates"": [2.342469029767626, 48.847142395599]}";48.8471423956, 2.34246902977
141;139;SAINT MICHEL;46 RUE FRANCISQUE GAY;46 RUE FRANCISQUE GAY;E1;6;INDIGO;WWW.PARKINDIGO.FR;01 56 24 32 44;190;;VISITEURS ET ABONNES;24h / 24;OUI;OUI;OUI;OUI;OUI;01/08/2016;335,00;3484,00;OUI;2090,40;2787,20;NON;ND;01/01/2017;1,15;2,30;4,60;6,90;9,20;13,80;18,40;32,20;36,80;39,60;39,60;39,60;39,60;39,60;9;167,50;478,00;1742,00;2017-03-01;167,50;478,00;1742,00;10;1,60;117,25;334,10;1219,40;10,10;651819.7158;6861635.332;5H 5J 6E 6G;0,40;0,80;13,60;OUI;731,64;975,52;NON;ND;4355,00;NON;"{""type"": ""Point"", ""coordinates"": [2.343396320029293, 48.852955254455296]}";48.8529552545, 2.34339632003
148;155;SEVRES BABYLONE;12 RUE DE  BABYLONE;12 RUE DE BABYLONE;E1;7;INDIGO;WWW.PARKINDIGO.FR;01 45 68 43 30;190;;VISITEURS ET ABONNES;24h / 24;OUI;OUI;OUI;OUI;NON;19/12/2015;290,00;2900,00;OUI;1620,00;2160,00;NON;ND;19/12/2015;1,00;2,00;4,00;6,00;8,00;12,00;16,00;28,00;32,00;36,00;36,00;36,00;36,00;36,00;19;145,00;406,00;1450,00;2017-03-01;145,00;406,00;1450,00;31;1,40;101,50;406,00;1450,00;10,00;650477.9353;6861516.1083;6E 6F 7M 7N 7L;0,35;0,70;12,60;OUI;567,00;756,00;NON;ND;3625,00;NON;"{""type"": ""Point"", ""coordinates"": [2.325125223113564, 48.851781348476926]}";48.8517813485, 2.32512522311
146;95;SAXE (SURFACE);54 AVENUE DE SAXE;54 AVENUE DE SAXE;E1;7;SAEMES;WWW.SAEMES.FR;01 44 82 99 99;200;;ABONNES;24h / 24;ACCESSIBLE DE PLAIN PIED;NON;OUI;OUI;OUI;01/01/2017;133,00;1330,00;OUI;798,00;1064,00;NON;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;2;66,50;190,00;665,00;2017-03-01;66,50;190,00;665,00;0;ND;ND;ND;ND;ND;649527.7136;6860950.9963;6F 7H 7J 7K 7M 7N 14N 15G 15H 15J 15K;ND;ND;ND;NON;ND;ND;NON;ND;ND;NON;"{""type"": ""Point"", ""coordinates"": [2.312243554524215, 48.84662560000733]}";48.8466256, 2.31224355452
116;114;PORTE D ASNIERES;2 AVENUE DE LA PORTE D ASNIERES;2 AVENUE DE LA PORTE D ASNIERES;E1;17;INDIGO;WWW.PARKINDIGO.FR;01 43 80 73 81;190;;ABONNES;24h / 24;OUI;OUI;NON;OUI;NON;01/08/2016;ND;ND;NON;ND;ND;NON;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;0;ND;ND;ND;2017-03-01;ND;ND;ND;5;ND;ND;ND;936,00;ND;648961.2958;6865841.8216;ND;ND;ND;ND;NON;ND;ND;NON;ND;1581,00;NON;"{""type"": ""Point"", ""coordinates"": [2.303938244548789, 48.89056301411726]}";48.8905630141, 2.30393824455
109;79;PEREIRE;211 BOULEVARD PEREIRE;211 BOULEVARD PEREIRE;E1;17;SAEMES;WWW.SAEMES.FR;01 44 82 99 99;200;;ABONNES;24h / 24;NON;OUI;NON;NON;NON;01/07/2016;ND;1910,00;NON;ND;ND;NON;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;0;ND;ND;ND;2017-03-01;ND;ND;ND;21;ND;ND;339,00;1256,00;ND;647948.9895;6864779.9906;ND;ND;ND;ND;NON;ND;ND;NON;ND;3141,00;NON;"{""type"": ""Point"", ""coordinates"": [2.290263386103299, 48.88093333954066]}";48.8809333395, 2.2902633861
14;150;BORDS DE SEINE FREYSSINET (RIVE GAUCHE);21 RUE ABEL GANCE;21 RUE ABEL GANCE;E1;13;INDIGO;WWW.PARKINDIGO.FR;01 44 06 60 50;190;;VISITEURS ET ABONNES;24h / 24;OUI;OUI;OUI;OUI;NON;01/09/2016;235,00;2350,00;OUI;1410,00;1880,00;NON;ND;01/09/2016;0,90;1,80;3,60;5,40;7,20;10,80;14,40;25,20;28,80;32,40;32,40;32,40;32,40;32,40;7;118,00;329,00;1175,00;2017-03-01;118,00;329,00;1175,00;16;1,20;82,00;230,00;823,00;10,00;653992.551;6859647.598;5F 12E 12F 13J 13K 13L 13M 13N 13P 13R 13S;0,30;0,60;10,80;OUI;493,50;658,00;NON;ND;2938,00;NON;"{""type"": ""Point"", ""coordinates"": [2.373221588101417, 48.83523833495664]}";48.835238335, 2.3732215881
43;54;FRANCOIS 1ER;17 RUE FRANCOIS 1ER;17 RUE FRANCOIS 1ER;E1;8;INTERPARKING;WWW.INTERPARKING-FRANCE.COM;01 47 23 37 03;190;;VISITEURS ET ABONNES;24h / 24;PREVU;OUI;OUI;OUI;NON;01/11/2014;263,00;2625,00;OUI;1050,00;2100,00;NON;ND;15/12/2016;0,90;1,80;3,60;5,40;7,20;10,80;14,40;25,20;28,80;32,40;32,40;32,40;32,40;32,40;11;132,00;368,00;1313,00;2017-03-01;132,00;368,00;1313,00;5;1,25;73,50;195,50;735,00;10,00;649070.4624;6863247.395;7E 7G 8E 8F 8H 16G 16H 16I 16K;0,35;0,65;11,25;OUI;367,50;735,00;NON;ND;3281,00;NON;"{""type"": ""Point"", ""coordinates"": [2.30573805940525, 48.8672408109973]}";48.867240811, 2.30573805941
96;18;MEYERBEER (OPERA);4 RUE DE LA CHAUSSEE D ANTIN;4 RUE DE LA CHAUSSEE D ANTIN;E1;9;SAEMES;WWW.SAEMES.FR;01 47 42 95 14;190;;VISITEURS ET ABONNES;24h / 24;OUI;OUI;OUI;OUI;NON;01/01/2017;279,00;2790,00;OUI;1215,00;1620,00;NON;ND;01/01/2017;0,95;1,85;3,65;5,50;7,30;10,95;14,60;25,55;29,20;32,85;32,85;32,85;32,85;32,85;11;139,00;397,00;1390,00;2017-03-01;139,00;397,00;1390,00;17;1,25;97,60;278,00;976,00;10,00;651155.8835;6863691.089;1E 2E 9E 9F 9G;0,35;0,65;11,30;OUI;425,25;567,00;NON;ND;3490,00;NON;"{""type"": ""Point"", ""coordinates"": [2.334113749543752, 48.87139237288018]}";48.8713923729, 2.33411374954
108;76;PATRIARCHES;37 RUE DAUBENTON;37 RUE DAUBENTON;E1;5;SPIE AUTOCITE;WWW.AUTOCITE.FR;01 43 37 43 56;185;;VISITEURS ET ABONNES;24h / 24;OUI;OUI;OUI;OUI;NON;01/01/2017;280,00;2800,00;OUI;1680,00;2240,00;NON;ND;01/01/2017;1,00;2,00;4,00;6,00;8,00;12,00;16,00;28,00;32,00;36,00;36,00;36,00;36,00;36,00;7;140,00;392,00;1400,00;2017-03-01;140,00;392,00;1400,00;15;1,40;98,00;274,40;980,00;10,00;652372.6068;6860219.4177;5E 5F 5G 5H 5J 6E 6G 13H 13HJ 13K 14P;0,35;0,70;12,60;OUI;588,00;784,00;NON;ND;3500,00;NON;"{""type"": ""Point"", ""coordinates"": [2.351089380603923, 48.8402630659288]}";48.8402630659, 2.3510893806
105;16;PASSY;82 RUE DE PASSY;82 RUE DE PASSY;E1;16;INDIGO;WWW.PARKINDIGO.FR;01 45 24 25 09;190;;VISITEURS ET ABONNES;24h / 24;OUI;OUI;OUI;OUI;NON;01/08/2016;363,00;3775,00;OUI;2265,00;3020,00;NON;ND;01/08/2016;1,05;2,10;4,20;6,30;8,40;12,60;16,80;29,40;33,60;37,80;37,80;37,80;37,80;37,80;8;181,50;517,00;1888,00;2017-03-01;181,50;517,00;1888,00;6;1,20;127,00;362,00;1321,00;16,80;646845.0612;6862266.1373;16K 16L 16M 16N 16P 16R 16S 16T 16U;0,30;0,60;10,80;OUI;792,75;1057,00;NON;ND;5335,00;NON;"{""type"": ""Point"", ""coordinates"": [2.275526196273249, 48.85823677015599]}";48.8582367702, 2.27552619627
91;140;MARCEAU ETOILE;75 BIS AVENUE MARCEAU;75B AVENUE MARCEAU;E1;16;Q PARK;WWW.Q-PARK.FR;01 40 70 10 10;190;;VISITEURS ET ABONNES;24h / 24;OUI;OUI;NON;OUI;NON;01/01/2017;315,00;3045,00;NON;ND;ND;OUI;2100,00;01/01/2017;1,25;2,50;5,00;7,50;10,00;15,00;20,00;35,00;40,00;40,00;40,00;40,00;40,00;40,00;10;ND;ND;ND;2017-03-01;130,00;ND;1560,00;10;ND;142,00;403,00;1147,00;ND;648415.6377;6863722.0809;8E 8F 8G 8H 8J 16E 16F 16G 16H 16I 16J 17E;ND;ND;ND;NON;ND;ND;NON;ND;4561,00;NON;"{""type"": ""Point"", ""coordinates"": [2.296754452263768, 48.871457432883716]}";48.8714574329, 2.29675445226
93;156;MARIGNY CHATEAU;10 COURS MARIGNY;10 COURS MARIGNY;E1;12;INDIGO;WWW.PARKINDIGO.FR;01 43 74 96 43;190;;VISITEURS ET ABONNES;24h / 24;PREVU;OUI;OUI;OUI;NON;01/01/2014;92,00;920,00;NON;ND;ND;NON;ND;01/01/2014;0,35;0,70;1,40;2,10;2,80;4,20;5,60;9,80;11,20;12,60;12,60;12,60;12,60;12,60;12;46,00;125,00;460,00;2017-03-01;46,00;125,00;460,00;57;0,45;32,80;87,50;322,00;10,00;658875.9515;6860729.8275;ND;0,10;0,20;4,40;NON;ND;ND;NON;ND;1150,00;NON;"{""type"": ""Point"", ""coordinates"": [2.439643170562296, 48.84530105257913]}";48.8453010526, 2.43964317056
44;130;FRANZ LISZT;32 RUE DES PETITS HOTELS;32 RUE DES PETITS HOTELS;E1;10;INDIGO;WWW.PARKINDIGO.FR;01 40 16 41 01;190;;VISITEURS ET ABONNES;24h / 24;OUI;OUI;NON;NON;OUI;01/08/2016;235,00;2444,00;NON;ND;ND;NON;ND;01/09/2016;1,10;2,20;4,40;6,60;8,80;13,20;17,60;30,80;35,20;39,60;39,60;39,60;39,60;39,60;6;ND;ND;ND;2017-03-01;ND;ND;1222,00;26;ND;80,00;226,00;827,00;ND;652526.8997;6864370.7621;ND;ND;ND;ND;NON;ND;ND;NON;ND;ND;NON;"{""type"": ""Point"", ""coordinates"": [2.352727854338938, 48.87760702575311]}";48.8776070258, 2.35272785434
103;92;ORSAY 1 (SURFACE);87 QUAI D ORSAY;87 QUAI D ORSAY;E1;7;SAEMES;WWW.SAEMES.FR;01 44 82 99 99;200;;ABONNES;24h / 24;ACCESSIBLE DE PLAIN PIED;NON;OUI;NON;NON;01/01/2017;133,00;1330,00;OUI;798,00;1064,00;NON;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;1;66,50;190,00;665,00;2017-03-01;66,50;190,00;665,00;0;ND;ND;ND;ND;ND;648857.967;6862686.7814;7E 7F 7G 7J 7L 7M 8E 16H;ND;ND;ND;NON;ND;ND;NON;ND;ND;NON;"{""type"": ""Point"", ""coordinates"": [2.302908976434032, 48.86218249213813]}";48.8621824921, 2.30290897643
47;118;GENERAL BEURET;31 RUE DU GENERAL BEURET;31 RUE DU GENERAL BEURET;E1;15;SAEMES;WWW.SAEMES.FR;01 44 82 99 99;185;;ABONNES;24h / 24;NON;OUI;NON;NON;NON;01/07/2016;ND;ND;NON;ND;ND;NON;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;0;ND;110,00;ND;2017-03-01;ND;ND;ND;0;ND;ND;ND;ND;ND;648791.7875;6860241.6877;ND;ND;ND;ND;NON;ND;ND;NON;ND;1657,00;NON;"{""type"": ""Point"", ""coordinates"": [2.302301435486304, 48.840188747594375]}";48.8401887476, 2.30230143549
160;138;VERSAILLES REYNAUD;178 AVENUE DE VERSAILLES;178 AVENUE DE VERSAILLES;E1;16;INDIGO;WWW.PARKINDIGO.FR;01 40 71 63 43;190;;VISITEURS ET ABONNES;24h / 24;OUI, MAIS TRAVAUX D'ACCESSIBILITE AUX HANDICAPES A REALISER;OUI;OUI;NON;NON;01/08/2016;206,00;2142,00;NON;ND;ND;NON;ND;01/09/2016;1,10;2,20;4,40;6,60;8,80;13,20;17,60;30,80;35,20;39,60;39,60;39,60;39,60;39,60;1;ND;ND;ND;2017-03-01;ND;ND;1071,00;20;ND;91,00;259,00;946,00;ND;645871.6408;6860215.3198;ND;ND;ND;ND;NON;ND;ND;NON;ND;ND;NON;"{""type"": ""Point"", ""coordinates"": [2.262520803329149, 48.83971296441354]}";48.8397129644, 2.26252080333
