OBJECTID;ID;NOM_PARC;ADRESS_SSC;ADRESS_GEO;ACCES_VL;Arrdt;DELEG;SITE_DELEG;TEL;H_PARC_CM;H2_PARC_CM;TYPE_PARC;HORAIRE_NA;ASC_SURF;ACCES_MOTO;ACCES_VELO;V_ELEC_CH;AUTOPART;DATE_TA;AB_1M_E;AB_1A_E;TARIF_PR;PR_1A_MINE;PR_1A_MAXE;TARIF_RES;TF_RES_1AE;DATE_TH;TF_15MN_E;TF_30MN_E;TF_1H_E;TF_1H30_E;TF_2H_E;TF_3H_E;TF_4H_E;TF_7H_E;TF_8H_E;TF_9H_E;TF_10H_E;TF_11H_E;TF_12H_E;TF_24H_E;NB_PL_PMR;ABPMR_1M_E;ABPMR_1T_E;ABPMR_1A_E;MIS_A_JOUR;ABVE_1M_E;ABVE_1T_E;ABVE_1A_E;NB_PL_MOTO;TMOTO_1EHE;ABMOTO_1ME;ABMOTO_1TE;ABMOTO_1AE;TVELO_1M_E;POINT_X;POINT_Y;ZONES_RES;TF_15MN_MO;TF_30MN_MO;TF_24H_MOT;TF_PR_MOTO;PR_1A_MINM;PR_1A_MAXM;TF_RES_MO;TF_RES_1AM;AB_1A_PATT;PARC_AMOD;geo_shape;geo_point_2d
137;55;SAINT GERMAIN DES PRES;169 BOULEVARD SAINT GERMAIN;169 BOULEVARD SAINT GERMAIN;E1;6;INDIGO;WWW.PARKINDIGO.FR;01 45 49 18 55;190;;VISITEURS ET ABONNES;24h / 24;OUI;OUI;NON;NON;OUI;01/08/2016;310,00;3224,00;NON;ND;ND;NON;ND;01/09/2016;1,20;2,40;4,80;7,20;9,60;14,40;19,20;33,60;38,40;39,60;39,60;39,60;39,60;39,60;7;ND;ND;ND;2017-03-01;ND;ND;1612,00;19;ND;138,00;368,00;1435,00;ND;650918.1711;6861771.406;ND;ND;ND;ND;NON;ND;ND;NON;ND;ND;NON;"{""type"": ""Point"", ""coordinates"": [2.331094890665365, 48.85411090637123]}";48.8541109064, 2.33109489067
104;93;ORSAY 2 (SURFACE);71 QUAI D ORSAY;71 QUAI D ORSAY;E1;7;SAEMES;WWW.SAEMES.FR;01 44 82 99 99;200;;ABONNES;24h / 24;ACCESSIBLE DE PLAIN PIED;NON;OUI;OUI;NON;01/01/2017;133,00;1330,00;OUI;798,00;1064,00;NON;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;1;66,50;190,00;665,00;2017-03-01;66,50;190,00;665,00;0;ND;ND;ND;ND;ND;649064.7081;6862691.848;7E 7F 7G 7J 7L 7M 8E 16H;ND;ND;ND;NON;ND;ND;NON;ND;ND;NON;"{""type"": ""Point"", ""coordinates"": [2.305726206429869, 48.862244435513304]}";48.8622444355, 2.30572620643
17;154;CARDINET;168 RUE CARDINET;168 RUE CARDINET;E1;17;SAEMES;WWW.SAEMES.FR;01 44 82 99 99;210;;ABONNES;24h / 24;OUI;OUI;OUI;OUI;NON;01/01/2017;211,00;2152,20;OUI;1290,75;1721,00;NON;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;12;105,00;301,00;1076,00;2017-03-01;105,00;301,00;1076,00;16;ND;84,00;241,00;860,00;18,40;649924.9066;6865769.338;17K 17P 17R 17S 17T;ND;ND;ND;NON;ND;ND;NON;ND;2690,00;NON;"{""type"": ""Point"", ""coordinates"": [2.317087778877405, 48.88998686506249]}";48.8899868651, 2.31708777888
5;81;ANDRE HONNORAT;2 RUE AUGUSTE COMTE;2 RUE AUGUSTE COMTE;E1;6;SAEMES;WWW.SAEMES.FR;01 44 82 99 99;190;;ABONNES;24h / 24;NON;OUI;NON;NON;NON;01/07/2016;ND;ND;NON;ND;ND;NON;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;0;ND;ND;ND;2017-03-01;ND;ND;ND;3;ND;140,00;357,00;1361,00;ND;651432.1722;6860669.7191;ND;ND;ND;ND;NON;ND;ND;NON;ND;3403,00;NON;"{""type"": ""Point"", ""coordinates"": [2.338225384900518, 48.844242440634154]}";48.8442424406, 2.3382253849
23;125;CHAMPS ELYSEES PIERRE CHARRON;67 RUE PIERRE CHARRON;67 RUE PIERRE CHARRON;E1;8;INDIGO;WWW.PARKINDIGO.FR;01 40 74 09 60;195;;VISITEURS ET ABONNES;24h / 24;OUI;OUI;OUI;OUI;NON;01/08/2016;288,00;2927,00;OUI;1756,20;2341,60;NON;ND;01/09/2016;1,20;2,40;4,80;7,20;9,60;14,40;19,20;33,60;38,40;39,60;39,60;39,60;39,60;39,60;8;144,00;388,00;1463,50;2017-03-01;144,00;388,00;1463,50;0;1,60;100,00;270,00;1021,00;10,20;648979.0427;6863579.2599;7E 7G 8E 8F 8H 16G 16H 16I 16K;0,40;0,80;13,60;OUI;612,60;816,80;NON;ND;6207,00;NON;"{""type"": ""Point"", ""coordinates"": [2.304452059212324, 48.87021795799878]}";48.870217958, 2.30445205921
20;133;CASERNE MONGE;17 RUE GRACIEUSE;17 RUE GRACIEUSE;E1;5;SAEMES;WWW.SAEMES.FR;01 44 82 99 99;190;;ABONNES;24h / 24;OUI;OUI;OUI;NON;NON;01/07/2016;192,00;2016,00;NON;ND;ND;NON;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;5;60,00;ND;ND;2017-03-01;ND;ND;ND;12;ND;96,00;266,00;1008,00;ND;652396.3529;6860474.8103;ND;ND;ND;ND;NON;ND;ND;NON;ND;2520,00;NON;"{""type"": ""Point"", ""coordinates"": [2.351384318323659, 48.842561573354324]}";48.8425615734, 2.35138431832
25;119;CHARLETY THOMIRE;12 RUE THOMIRE;12 RUE THOMIRE;E1;13;SAEMES;WWW.SAEMES.FR;01 44 82 99 99;190;;ABONNES;24h / 24;OUI;OUI;NON;NON;NON;01/07/2016;90,00;945,00;NON;ND;ND;NON;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;26;23,00;ND;ND;2017-03-01;ND;ND;ND;24;ND;37,00;ND;378,00;ND;652166.7377;6857866.3452;ND;ND;ND;ND;NON;ND;ND;NON;ND;ND;NON;"{""type"": ""Point"", ""coordinates"": [2.348549088885551, 48.81908635497679]}";48.819086355, 2.34854908889
72;8;LES HALLES ST EUSTACHE;22 RUE DES HALLES;22 RUE DES HALLES;E1;1;SAEMES;WWW.SAEMES.FR;01 42 36 57 37;185;;VISITEURS ET ABONNES;24h / 24;OUI, MAIS TRAVAUX D'ACCESSIBILITE AUX HANDICAPES A REALISER;OUI;OUI;OUI;NON;01/07/2015;260,00;2600,00;OUI;1560,00;2080,00;NON;ND;01/07/2015;0,95;1,90;3,80;5,70;7,60;11,40;15,20;26,60;30,40;34,20;34,20;34,20;34,20;34,20;3;130,00;360,00;1300,00;2017-03-01;130,00;360,00;1300,00;16;1,30;91,00;252,00;910,00;15,00;652057.879;6862433.174;TROIS PREMIERS ARRONDISSEMENTS;0,35;0,70;11,70;NON;ND;ND;OUI;765,00;3250,00;NON;"{""type"": ""Point"", ""coordinates"": [2.346551896305018, 48.86014793509658]}";48.8601479351, 2.34655189631
26;152;CITE DE LA MODE AUSTERLITZ (RIVE GAUCHE);29 QUAI D AUSTERLITZ;29 QUAI D AUSTERLITZ;E1;13;INDIGO;WWW.PARKINDIGO.FR;01 44 06 60 50;190;;VISITEURS ET ABONNES;24h / 24;OUI;OUI;OUI;NON;NON;01/09/2016;235,00;2350,00;OUI;1410,00;1880,00;NON;ND;01/09/2016;0,90;1,80;3,60;5,40;7,20;10,80;14,40;25,20;28,80;32,40;32,40;32,40;32,40;32,40;18;118,00;329,00;1175,00;2017-03-01;118,00;329,00;1175,00;0;1,20;82,00;230,00;823,00;10,00;653854.0258;6860095.55;5F 12E 12F 13J 13K 13L 13M 13N 13P 13R 13S;0,30;0,60;10,80;OUI;493,50;658,00;NON;ND;2938,00;NON;"{""type"": ""Point"", ""coordinates"": [2.371285892622528, 48.83925689960961]}";48.8392568996, 2.37128589262
73;25;LOBAU;4 RUE DE LOBAU;4 RUE DE LOBAU;E1;4;INDIGO;WWW.PARKINDIGO.FR;01 42 77 88 53;190;;VISITEURS ET ABONNES;24h / 24;OUI, MAIS TRAVAUX D'ACCESSIBILITE AUX HANDICAPES A REALISER;OUI;OUI;OUI;OUI;01/08/2016;266,00;2660,00;OUI;1597,50;2130,00;NON;ND;01/07/2016;1,15;2,30;4,60;6,90;9,20;13,80;18,40;32,20;36,80;39,60;39,60;39,60;39,60;39,60;17;133,00;373,00;1330,00;2017-03-01;133,00;373,00;1330,00;132;1,60;93,00;261,00;931,00;14,00;652582.131;6862019.1125;1E 2E 3E 4E 5G 5J 6E 11G 34F;0,40;0,80;13,60;OUI;558,60;744,80;NON;ND;3413,00;NON;"{""type"": ""Point"", ""coordinates"": [2.353743285775988, 48.856463126329025]}";48.8564631263, 2.35374328578
64;7;HOTEL DE VILLE;8 QUAI DE GESVRES;8 QUAI DE GESVRES;E1;4;SAEMES;WWW.SAEMES.FR;01 42 71 51 96;180;;VISITEURS ET ABONNES;24h / 24;PREVU;OUI;OUI;OUI;NON;01/12/2016;265,00;2650,00;OUI;1590,00;2120,00;NON;ND;01/12/2016;1,05;2,10;4,20;6,30;8,40;12,60;16,80;29,40;33,60;37,80;37,80;37,80;37,80;37,80;10;133,00;378,00;1325,00;2017-03-01;133,00;378,00;1325,00;79;1,40;93,00;264,00;928,00;16,00;652256.0057;6862051.3556;1E 2E 3E 4E 34F 5G 5J 6E 11G;0,40;0,70;13,20;NON;ND;ND;NON;ND;3445,00;NON;"{""type"": ""Point"", ""coordinates"": [2.349295113172412, 48.856728999155294]}";48.8567289992, 2.34929511317
2;110;ALMA GEORGE V;6 ET 19 AVENUE GEORGE V;19 AVENUE GEORGE V;E1;8;INDIGO;WWW.PARKINDIGO.FR;01 47 23 06 86;190;;VISITEURS ET ABONNES;24h / 24;OUI;OUI;NON;NON;OUI;01/08/2016;305,00;3172,00;NON;ND;ND;OUI;2220,40;01/09/2016;1,20;2,40;4,80;7,20;9,60;14,40;19,20;33,60;38,40;39,60;39,60;39,60;39,60;39,60;6;ND;ND;ND;2017-03-01;152,50;434,50;1586,00;0;ND;122,00;347,60;1268,80;ND;648721.9597;6863223.1168;7E 7G 8E 8F 8H 16G 16H 16I 16K;ND;ND;ND;NON;ND;ND;NON;ND;3585,30;NON;"{""type"": ""Point"", ""coordinates"": [2.300990512750459, 48.86699483257704]}";48.8669948326, 2.30099051275
81;117;MAINE BASCH ALESIA;204 ET 205  AVENUE DU MAINE;205 AVENUE DU MAINE;E2;14;INDIGO;WWW.PARKINDIGO.FR;01 43 95 09 14;185;;VISITEURS ET ABONNES;24h / 24;OUI;OUI;OUI;OUI;OUI;01/08/2016;193,00;2007,00;NON;ND;ND;NON;ND;01/01/2017;1,05;2,10;4,20;6,30;8,40;12,60;16,80;29,40;33,60;37,80;37,80;37,80;37,80;37,80;10;96,50;275,00;1004,00;2017-03-01;96,50;275,00;1004,00;48;1,20;68,00;194,00;707,00;10,00;650573.9074;6858962.4816;ND;0,30;0,60;10,80;NON;ND;ND;NON;ND;2509,00;NON;"{""type"": ""Point"", ""coordinates"": [2.3267297596816983, 48.82882391859021]}";48.8288239186, 2.32672975968
63;15;HOCHE;14 ET 29 AVENUE HOCHE;29 AVENUE HOCHE;E2;8;INDIGO;WWW.PARKINDIGO.FR;01 42 25 75 47;190;;VISITEURS ET ABONNES;24h / 24;OUI, MAIS TRAVAUX D'ACCESSIBILITE AUX HANDICAPES A REALISER;OUI;NON;NON;NON;01/08/2016;295,00;3068,00;NON;ND;ND;NON;ND;01/09/2016;1,20;2,40;4,80;7,20;9,60;14,40;19,20;33,60;38,40;39,60;39,60;39,60;39,60;39,60;10;ND;ND;ND;2017-03-01;ND;ND;1539,00;13;ND;171,00;487,00;1778,00;ND;648764.6749;6864251.7564;ND;ND;ND;ND;NON;ND;ND;NON;ND;3224,00;NON;"{""type"": ""Point"", ""coordinates"": [2.301448719804309, 48.87624851522654]}";48.8762485152, 2.3014487198
67;58;JOFFRE;2 PLACE JOFFRE;2 PLACE JOFFRE;E1;7;INDIGO;WWW.PARKINDIGO.FR;01 45 51 57 17;190;;VISITEURS ET ABONNES;08h / 22h;ACCESSIBLE DE PLAIN PIED;OUI;OUI;NON;OUI;01/01/2016;191,00;1986,00;NON;ND;ND;NON;ND;01/01/2017;1,15;2,30;4,60;6,90;9,20;13,80;18,40;32,20;36,80;39,60;39,60;39,60;39,60;39,60;1;95,50;272,00;993,00;2017-03-01;95,50;272,00;993,00;19;1,60;76,00;218,00;799,00;10,00;648986.9032000001;6861819.8131;ND;0,40;0,80;13,60;NON;ND;ND;NON;ND;3110,00;NON;"{""type"": ""Point"", ""coordinates"": [2.304770391766118, 48.8543962027266]}";48.8543962027, 2.30477039177
53;91;GRENELLE 2 (SURFACE);19 BOULEVARD DE GRENELLE;19 BOULEVARD DE GRENELLE;E1;15;SAEMES;WWW.SAEMES.FR;01 44 82 99 99;200;;ABONNES;24h / 24;ACCESSIBLE DE PLAIN PIED;NON;OUI;NON;OUI;01/01/2017;103,60;1036,00;OUI;621,60;828,80;NON;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;1;52,00;148,00;518,00;2017-03-01;52,00;148,00;518,00;0;ND;ND;ND;ND;ND;647913.7308;6861725.9048;7E 7F 7H 15E 15F 15L 15M 15P 16P 16T;ND;ND;ND;NON;ND;ND;NON;ND;ND;NON;"{""type"": ""Point"", ""coordinates"": [2.290156996499412, 48.85346582989744]}";48.8534658299, 2.2901569965
82;33;MAIRIE DU 14 EME;8 RUE CHARLES DIVRY;8 RUE CHARLES DIVRY;E1;14;INDIGO;WWW.PARKINDIGO.FR;01 43 95 09 14;190;;ABONNES;24h / 24;NON;NON;NON;NON;NON;01/08/2016;ND;ND;OUI;ND;ND;NON;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;0;ND;ND;ND;2017-03-01;ND;ND;ND;0;ND;ND;ND;ND;ND;650634.6318;6859442.3527;ND;ND;ND;ND;NON;ND;ND;NON;ND;2361,00;NON;"{""type"": ""Point"", ""coordinates"": [2.327501223114382, 48.83314409585461]}";48.8331440959, 2.32750122311
144;161;SAINT SULPICE (GARAGE);8 PLACE SAINT SULPICE;8 PLACE SAINT SULPICE;E1;6;INDIGO;WWW.PARKINDIGO.FR;01 43 25 45 57;190;;ABONNES;24h / 24;OUI;OUI;NON;NON;NON;01/08/2016;375,00;3900,00;OUI;2340,00;3120,00;NON;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;0;187,50;534,50;1950,00;2017-03-01;187,50;534,50;1950,00;5;ND;134,30;382,80;1396,80;ND;651100.2601;6861472.5821;1E 4E 5E 5H 5J 6E 6F 6G 7L 7M 7N;ND;ND;ND;NON;ND;ND;NON;ND;4875,00;NON;"{""type"": ""Point"", ""coordinates"": [2.333610716224296, 48.85143745328019]}";48.8514374533, 2.33361071622
