station_id;station_name;station_number;address;address_precision;zip_code;city;geo_coordinates
230395;Villiers - Courcelles;91;1 avenue de Villiers;;75017;PARIS;48.8815484283, 2.31510445476
230409;Strasbourg Saint Denis;6;19 boulevard Saint Denis;Angle porte Saint Denis;75002;PARIS;48.8696364871, 2.35276937485
230411;Place Saint Michel;9;29 quai Saint Michel;;75005;PARIS;48.8537513985, 2.34434790909
230413;Tournelle;14;15 quai de la Tournelle;;75005;PARIS;48.8499705085, 2.35491849482
230415;Mabillon;16;2 rue du Four;;75006;PARIS;48.8530878109, 2.33576014638
230425;Mairie 11ème- Léon Blum;41;12 place Léon Blum;Avenue Parmentier;75011;PARIS;48.8579850916, 2.38020636141
230428;Cour Saint Emilion;48;12 rue des Pirogues de Bercy;Angle rue de Libourne;75012;PARIS;48.8320492048, 2.3861092329
230429;Mairie du 12ème;49;130 avenue Daumesnil;;75012;PARIS;48.8413063447, 2.38795995712
230432;Porte d'Italie;56;166 boulevard Masséna;;75013;PARIS;48.819204485, 2.3599845171
230442;Porte d'Auteuil;79;144 boulevard Exelmans;Angle avenue d'Auteuil;75016;PARIS;48.8477271661, 2.25975036621
230446;Courcelles - Chazelles;85;94 boulevard de Courcelles;Angle rue de Chazelles;75017;PARIS;48.8792945944, 2.30338320136
230448;Porte de Saint Ouen;90;1 avenue de la porte de Saint Ouen;;75017;PARIS;48.8975935307, 2.32879042625
230453;Porte des Lilas;101;1 avenue de la Porte des lilas;Angle boulevard Serrurier;75019;PARIS;48.8774058113, 2.40710556507
230457;Belleville - Pyrénées;110;360 rue des Pyrénées;;75020;PARIS;48.8739473408, 2.38579943776
230459;Porte de Bagnolet;114;6 place de la Porte de Bagnolet;Face au Sqaure Séverine;75020;PARIS;48.8647703423, 2.40916550159
230472;Etienne Marcel;117;28 Rue Étienne Marcel;;75002;PARIS;48.8644386227, 2.34684973955
230460;Porte de Montreuil;115;1 avenue de la Porte de Montreuil;Angle boulevard Davout;75020;PARIS;48.8536741863, 2.41106182337
230468;Porte de la Chapelle;99;188 rue de la Chapelle;Angle boulevard Ney;75018;PARIS;48.8981436781, 2.35916107893
230357;Opéra;5;2 place de l'Opéra;Angle boulevard des Capucines;75002;PARIS;48.870701224, 2.33255758882
230361;Place Monge;13;75 bis rue Monge;;75005;PARIS;48.8432326776, 2.35222488642
230365;Bac - Saint Germain;22;50 rue du Bac;Angle boulevard Saint Germain;75007;PARIS;48.8561215342, 2.32587955892
