Address;Cars;Bluecar counter;Utilib counter;Utilib 1.4 counter;Charge Slots;Charging Status;City;Displayed comment;ID;Kind;Geo point;Postal code;Public name;Rental status;Scheduled at;Slots;Station type;Status;Subscription status
10 avenue de la Porte d'Aubervilliers;3;3;0;0;0;operational;Paris;;paris-portedaubervilliers-10;STATION;48.899335, 2.371162;75019;Paris/Porte d'Aubervilliers/10;operational;;1;station;ok;nonexistent
8 avenue Ménelotte;1;1;0;0;0;nonexistent;Colombes;;colombes-menelotte-8;STATION;48.9246525, 2.259313;92700;Colombes/Ménelotte/8;operational;;4;station;ok;nonexistent
88 avenue du Général de Gaulle;1;1;0;0;0;nonexistent;Issy-les-Moulineaux;;issylesmoulineaux-generaldegaulle-88;STATION;48.8187533, 2.2778594;92130;Issy-les-Moulineaux/De Gaulle/88;operational;;5;station;ok;nonexistent
5 rue de Mesly;6;6;0;0;0;nonexistent;Créteil;;creteil-mesly-5;STATION;48.79177, 2.459949;94000;Créteil/Mesly/5;operational;;0;station;ok;nonexistent
131 rue du Chevaleret;3;3;0;0;1;operational;Paris;;paris-chevaleret-131;STATION;48.83186, 2.372548;75013;Paris/Chevaleret/131;operational;;2;station;ok;nonexistent
2 rue Neuve Saint-Pierre;2;2;0;0;0;operational;Paris;;paris-neuvesaintpierre-2;STATION;48.853574, 2.363958;75004;Paris/Neuve Saint-Pierre/2;operational;;2;station;ok;nonexistent
29 avenue de la Sibelle;2;2;1;0;0;operational;Paris;;paris-sibelle-29;STATION;48.8249705, 2.3382509;75014;Paris/Sibelle/29;operational;;2;station;ok;nonexistent
10 rue Guy Patin;5;5;0;0;0;operational;Paris;;paris-guypatin-10;STATION;48.88363, 2.351257;75010;Paris/Guy Patin/10;operational;;0;station;ok;nonexistent
12 rue Darmesteter;5;5;0;0;0;operational;Paris;;paris-darmesteter-12;STATION;48.8231521, 2.3753988;75013;Paris/Darmesteter/12;operational;;0;station;ok;nonexistent
3 rue Harpignies;0;0;0;0;0;broken;Paris;;paris-harpignies-3;STATION;48.8587455, 2.4101638;75020;Paris/Harpignies/3;broken;;0;station;closed;nonexistent
